blocking_key,block_size,sample_names
JPMORGAN,10,"JPMORGAN CHASE BANK NA, JPMORGAN CHASE BANK NA A NATIONAL BANKING ASSOCIATION, JPMORGAN CHASE BANK NA"
ATLANTIC,10,"ATLANTIC RICHFIELD CO, ATLANTIC RESEARCH CORP, ATLANTIC SHUTTER SYSTEMS INC"
BL,10,"BL CHEMICALS INC A DELAWARE CORP, BL TECHNOLOGIES INC A DELAWARE CORP, BL CHEMICALS INC"
INTEGRATED,10,"INTEGRATED DEVICE TECHNOLOGY INC, INTEGRATED DISPENSE SOLUTIONS LLC, INTEGRATED PRODUCTION SERVICES INC"
HEXCEL,10,"HEXCEL CORP, HEXCEL HOLDINGS LUXEMBOURG SA R L, HEXCEL REINFORCEMENT CORP"
ENERGY,10,"ENERGY LABS INC, ENERGY CONVERSION DEVICES INC A DE CORP, ENERGY FOCUS INC"
GEORGIAPACIFIC,10,"GEORGIA-PACIFIC ASIA INC, GEORGIA-PACIFIC CHILDCARE CENTER LLC, GEORGIA-PACIFIC FINANCE LLC"
PHOENIX,10,"PHOENIX ATHLETIC CLUB INC, PHOENIX TECHNOLOGIES LTD, PHOENIX FOOTWEAR GROUP INC"
ACCO,10,"ACCO BRANDS CORP, ACCO BRANDS USA LLC, ACCO BRANDS INTERNATIONAL INC"
SIERRA,10,"SIERRA MONOLITHICS INC, SIERRA DESIGNS ACQUISITION CORP, SIERRA WIRELESS AMERICA INC"
GERBER,10,"GERBER SCIENTIFIC INC, GERBER SCIENTIFIC INTERNATIONAL INC, GERBER COBURN OPTICAL INC A CONNECTICUT CORP"
TRIMAS,10,"TRIMAS CO LLC, TRIMAS CORP, TRIMAS INTERNATIONAL HOLDINGS LLC"
DADE,10,"DADE BEHRING INC, DADE CHEMISTRY SYSTEMS INC, DADE DIAGNOSTICS OF P R INC"
MANITOWOC,10,"MANITOWOC CRANE CO LLC, MANITOWOC FOODSERVICE CO LLC, MANITOWOC CRANE CO INC"
THERMAL,10,"THERMAL DYNAMICS CORP, THERMAL CORP, THERMAL STRUCTURES INC"
ONE,10,"ONE IDENTITY LLC, ONE IDENTITY SOFTWARE INTERNATIONAL DESIGNATED ACTIVITY CO, ONE VOICE TECHNOLOGIES INC"
PSC,10,"PSC INC, PSC AUTOMATION FORMERLY LAZERDATA CORP, PSC SCANNING INC FORMERLY SPECTRASACN INC SPECTRA-PHYSICS SCANNING SYSTEMS INC & PSC ACQUISITION INC"
PREGIS,10,"PREGIS INNOVATIVE PACKAGING INC, PREGIS CORP, PREGIS HOLDING II CORP"
MOLECULAR,10,"MOLECULAR INSIGHT PHARMACEUTICALS INC, MOLECULAR TEMPLATES INC, MOLECULAR PROBES INC"
