component_id,entity_id,standard_name,normalized_name,original_name,frequency,avg_similarity,min_similarity,issues,decision,notes
716,non_financial_716,TI AUTOMOTIVE LLC,TI AUTOMOTIVE LTD,TI AUTOMOTIVE LIMITED,25,88.23529411764706,88.23529411764706,['Similitud promedio baja: 88.2%'],,
716,non_financial_716,TI AUTOMOTIVE LLC,TI AUTOMOTIVE LLC,"TI AUTOMOTIVE, L.L.C.",88,88.23529411764706,88.23529411764706,['Similitud promedio baja: 88.2%'],,
728,non_financial_728,SANMINA-SCI ENCLOSURES USA INC,SANMINA-SCI ENCLOSURES USA INC,SANMINA-SCI ENCLOSURES USA INC.,98,88.63839285714286,88.21428571428571,['Similitud promedio baja: 88.6%'],,
728,non_financial_728,SANMINA-SCI ENCLOSURES USA INC,SANMINA-SCI SYSTEMS ENCLOSURES LLC,SANMINA-SCI SYSTEMS ENCLOSURES LLC,52,88.63839285714286,88.21428571428571,['Similitud promedio baja: 88.6%'],,
728,non_financial_728,SANMINA-SCI ENCLOSURES USA INC,SANMINA-SCI SYSTEMS ENCLOSURES DENTON INC,SANMINA-SCI SYSTEMS ENCLOSURES (DENTON) INC.,98,88.63839285714286,88.21428571428571,['Similitud promedio baja: 88.6%'],,
737,non_financial_737,ZURN INDUSTRIES INC,ZURN INDUSTRIES INC,"ZURN INDUSTRIES, INC.",147,89.47368421052632,89.47368421052632,['Similitud promedio baja: 89.5%'],,
737,non_financial_737,ZURN INDUSTRIES INC,ZURN INDUSTRIES LLC,"ZURN INDUSTRIES, LLC",12,89.47368421052632,89.47368421052632,['Similitud promedio baja: 89.5%'],,
753,non_financial_753,INVERNESS MEDICAL - BIOSTAR INC,INVERNESS MEDICAL - BIOSTAR INC A DELAWARE CORP,"INVERNESS MEDICAL - BIOSTAR, INC., A DELAWARE CORPORATION",40,89.26229508196721,88.52459016393443,['Similitud promedio baja: 89.3%'],,
753,non_financial_753,INVERNESS MEDICAL - BIOSTAR INC,INVERNESS MEDICAL -BIOSTAR INC F K A THERMO BIOSTAR INC,INVERNESS MEDICAL -BIOSTAR INC. (F/K/A THERMO BIOSTAR INC.),9,89.26229508196721,88.52459016393443,['Similitud promedio baja: 89.3%'],,
753,non_financial_753,INVERNESS MEDICAL - BIOSTAR INC,INVERNESS MEDICAL - BIOSTAR INC,INVERNESS MEDICAL - BIOSTAR INC.,144,89.26229508196721,88.52459016393443,['Similitud promedio baja: 89.3%'],,
771,non_financial_771,GEO SPECIALTY CHEMICALS INC,GEO SPECIALTY CHEMICALS LTD,GEO SPECIALTY CHEMICALS LIMITED,2,88.88888888888889,88.88888888888889,['Similitud promedio baja: 88.9%'],,
771,non_financial_771,GEO SPECIALTY CHEMICALS INC,GEO SPECIALTY CHEMICALS INC,"GEO SPECIALTY CHEMICALS, INC.",13,88.88888888888889,88.88888888888889,['Similitud promedio baja: 88.9%'],,
777,non_financial_777,GD FINANCE CO LLC,GD FINANCE CO INC,"GD FINANCE CO., INC.",66,88.23529411764706,88.23529411764706,['Similitud promedio baja: 88.2%'],,
777,non_financial_777,GD FINANCE CO LLC,GD FINANCE CO LLC,"GD FINANCE CO, LLC",131,88.23529411764706,88.23529411764706,['Similitud promedio baja: 88.2%'],,
784,non_financial_784,PREGIS INTELLIPACK CORP,PREGIS INTELLIPACK CORP,PREGIS INTELLIPACK CORP.,46,88.88888888888889,88.88888888888889,['Similitud promedio baja: 88.9%'],,
784,non_financial_784,PREGIS INTELLIPACK CORP,PREGIS INTELLIPACK LLC,PREGIS INTELLIPACK LLC,11,88.88888888888889,88.88888888888889,['Similitud promedio baja: 88.9%'],,
806,non_financial_806,PRINCE MINERALS LLC,PRINCE MINERALS LLC,PRINCE MINERALS LLC,120,89.47368421052632,89.47368421052632,['Similitud promedio baja: 89.5%'],,
806,non_financial_806,PRINCE MINERALS LLC,PRINCE MINERALS INC,"PRINCE MINERALS, INC.",4,89.47368421052632,89.47368421052632,['Similitud promedio baja: 89.5%'],,
856,non_financial_856,MARK IV INDUSTRIES CORP,MARK IV INDUSTRIES CORP,MARK IV INDUSTRIES CORP.,3,88.3720930232558,88.3720930232558,['Similitud promedio baja: 88.4%'],,
856,non_financial_856,MARK IV INDUSTRIES CORP,MARK INDUSTRIES A CORP OF CA,"MARK INDUSTRIES, A CORP OF CA.",1,88.3720930232558,88.3720930232558,['Similitud promedio baja: 88.4%'],,
861,non_financial_861,ORBCOMM CHINA LLC,ORBCOMM CHINA LLC,ORBCOMM CHINA LLC,35,88.23529411764706,88.23529411764706,['Similitud promedio baja: 88.2%'],,
